cipher_id,openssl,gnutls,standard
"0x00,0xA7",ADH-AES256-GCM-SHA384,-,TLS_DH_anon_WITH_AES_256_GCM_SHA384
"0x00,0x6D",ADH-AES256-SHA256,-,TLS_DH_anon_WITH_AES_256_CBC_SHA256
"0x00,0x3A",ADH-AES256-SHA,-,TLS_DH_anon_WITH_AES_256_CBC_SHA
"0xC0,0x32",ECDH-RSA-AES256-GCM-SHA384,-,TLS_ECDH_RSA_WITH_AES_256_GCM_SHA384
"0xC0,0x2E",ECDH-ECDSA-AES256-GCM-SHA384,-,TLS_ECDH_ECDSA_WITH_AES_256_GCM_SHA384
"0xC0,0x2A",ECDH-RSA-AES256-SHA384,-,TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384
"0xC0,0x26",ECDH-ECDSA-AES256-SHA384,-,TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384
"0xC0,0x0F",ECDH-RSA-AES256-SHA,-,TLS_ECDH_RSA_WITH_AES_256_CBC_SHA
"0xC0,0x05",ECDH-ECDSA-AES256-SHA,-,TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA
"0x00,0x9D",AES256-GCM-SHA384,-,TLS_RSA_WITH_AES_256_GCM_SHA384
"0x00,0x3D",AES256-SHA256,-,TLS_RSA_WITH_AES_256_CBC_SHA256
"0x00,0x8D",PSK-AES256-CBC-SHA,-,TLS_PSK_WITH_AES_256_CBC_SHA
"0xC0,0x12",ECDHE-RSA-DES-CBC3-SHA,-,TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA
"0xC0,0x08",ECDHE-ECDSA-DES-CBC3-SHA,-,TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA
"0xC0,0x1C",SRP-DSS-3DES-EDE-CBC-SHA,-,TLS_SRP_SHA_DSS_WITH_3DES_EDE_CBC_SHA
"0xC0,0x1B",SRP-RSA-3DES-EDE-CBC-SHA,-,TLS_SRP_SHA_RSA_WITH_3DES_EDE_CBC_SHA
"0xC0,0x17",AECDH-DES-CBC3-SHA,-,TLS_ECDH_anon_WITH_3DES_EDE_CBC_SHA
"0xC0,0x1A",SRP-3DES-EDE-CBC-SHA,-,TLS_SRP_SHA_WITH_3DES_EDE_CBC_SHA
"0x00,0x1B",ADH-DES-CBC3-SHA,-,TLS_DH_anon_WITH_3DES_EDE_CBC_SHA
"0xC0,0x0D",ECDH-RSA-DES-CBC3-SHA,-,TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA
"0xC0,0x03",ECDH-ECDSA-DES-CBC3-SHA,-,TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA
"0x00,0x0A",DES-CBC3-SHA,-,TLS_RSA_WITH_3DES_EDE_CBC_SHA
"0x07,0x00,0xC0",DES-CBC3-MD5,-,-
"0x00,0x8B",PSK-3DES-EDE-CBC-SHA,-,TLS_PSK_WITH_3DES_EDE_CBC_SHA
"0xC0,0x2F",ECDHE-RSA-AES128-GCM-SHA256,-,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256
"0xC0,0x2B",ECDHE-ECDSA-AES128-GCM-SHA256,-,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256
"0xC0,0x27",ECDHE-RSA-AES128-SHA256,-,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256
